epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1686,0.83946,2.49438,1.52864,0.0025,1,0.71019,0.42638,0.72154,4.27264,1.74825,0.00034,0.00034,0.00034
2,166.175,0.8005,1.7647,1.43143,0.0025,1,0.87936,0.49155,0.79958,4.51451,1.86973,0.000699316,0.000699316,0.000699316
3,240.507,0.8058,1.35712,1.43609,0.58938,0.38318,0.57088,0.28768,1.4351,4.89533,2.28925,0.00105586,0.00105586,0.00105586
4,315.06,0.81084,1.42914,1.38684,0.35535,0.45951,0.34383,0.07162,2.60956,5.54692,4.24587,0.00140755,0.00140755,0.00140755
5,387.993,0.84785,1.27215,1.45295,0.69459,0.9,0.83805,0.56716,0.87816,4.18198,2.65136,0.00175232,0.00175232,0.00175232
6,533.971,0.81377,1.31604,1.41708,0.61366,0.63541,0.6795,0.40202,1.22035,6.31527,3.34522,0.00195155,0.00195155,0.00195155
7,713.391,0.78227,1.23529,1.41572,0.3793,0.7,0.3692,0.10019,2.0252,10.0123,3.55798,0.00193048,0.00193048,0.00193048
8,846.098,0.82829,1.19155,1.44511,0.45315,0.7,0.57815,0.35022,1.02411,8.61967,2.35443,0.00190578,0.00190578,0.00190578
9,1018.03,0.84209,1.11815,1.4353,0.40869,0.6,0.39671,0.21078,1.23609,7.271,2.70629,0.00187754,0.00187754,0.00187754
10,1198.98,0.82859,1.0967,1.4629,0.46821,0.66667,0.50338,0.23502,1.87084,4.11895,2.49598,0.00184588,0.00184588,0.00184588
11,1407.4,0.81278,1.07338,1.39845,0.7437,0.9,0.87333,0.6073,0.8397,2.68577,1.70884,0.00181093,0.00181093,0.00181093
12,1516.2,0.75205,0.94526,1.34511,0.86938,0.96667,0.96381,0.69577,0.96314,2.16611,1.92685,0.00177281,0.00177281,0.00177281
13,1589.83,0.75715,0.91717,1.35297,0.75274,0.93333,0.91349,0.47043,1.43815,2.65483,2.28979,0.00173168,0.00173168,0.00173168
14,1653.41,0.77292,0.87327,1.36757,0.92828,0.96667,0.98502,0.78065,0.75869,1.84627,1.52031,0.0016877,0.0016877,0.0016877
15,1714.47,0.80476,0.93372,1.40648,0.93695,0.99092,0.99079,0.61709,0.93218,1.97732,1.85503,0.00164105,0.00164105,0.00164105
16,1770.7,0.70696,0.86015,1.32361,0.98799,1,0.995,0.81333,0.69419,1.29265,1.47707,0.00159191,0.00159191,0.00159191
17,1825.24,0.73962,0.78795,1.37018,0.94938,0.96667,0.98894,0.75446,0.68871,1.364,1.44729,0.00154047,0.00154047,0.00154047
18,1878.05,0.68835,0.74539,1.27905,1,0.96438,0.99227,0.76017,0.80682,1.31086,1.66942,0.00148694,0.00148694,0.00148694
19,1930.38,0.73361,0.78684,1.35888,0.99342,1,0.995,0.79591,0.75197,1.13042,1.67604,0.00143152,0.00143152,0.00143152
20,1983.23,0.70471,0.74467,1.30878,0.98665,1,0.995,0.84179,0.67708,1.17571,1.64317,0.00137444,0.00137444,0.00137444
21,2039.27,0.67234,0.69954,1.30824,0.99455,1,0.995,0.86026,0.62525,0.98575,1.48471,0.00131593,0.00131593,0.00131593
22,2096.77,0.59256,0.6894,1.22148,0.99644,1,0.995,0.85925,0.61238,0.93739,1.36659,0.0012562,0.0012562,0.0012562
23,2147.43,0.64557,0.63939,1.27534,0.99765,1,0.995,0.86879,0.54038,0.84061,1.24453,0.00119551,0.00119551,0.00119551
24,2464.48,0.65084,0.66309,1.27673,0.99811,1,0.995,0.85521,0.55629,0.82869,1.23761,0.00113408,0.00113408,0.00113408
25,2514.12,0.59486,0.64427,1.20876,0.98802,0.96667,0.98593,0.81889,0.69605,1.09369,1.40882,0.00107216,0.00107216,0.00107216
26,2565.77,0.58081,0.64556,1.20588,0.96596,1,0.99403,0.86612,0.55417,0.91455,1.23628,0.00101,0.00101,0.00101
27,2610.57,0.60356,0.6062,1.2261,0.9972,1,0.995,0.87503,0.54991,0.81512,1.27932,0.000947837,0.000947837,0.000947837
28,2654.44,0.63213,0.68621,1.24186,0.98976,0.96667,0.99227,0.87371,0.54829,0.82701,1.26679,0.00088592,0.00088592,0.00088592
29,2699.33,0.62017,0.60686,1.22717,0.99908,1,0.995,0.80871,0.71317,0.9342,1.56838,0.000824492,0.000824492,0.000824492
30,2743.94,0.57839,0.58582,1.23156,0.99822,1,0.995,0.81699,0.68803,0.8573,1.46925,0.000763797,0.000763797,0.000763797
31,2788.03,0.54721,0.55189,1.19614,0.99378,1,0.995,0.8594,0.58396,0.76671,1.30502,0.000704073,0.000704073,0.000704073
32,2832.06,0.52232,0.57061,1.17435,0.96748,0.99183,0.99403,0.86214,0.64618,0.79694,1.39728,0.000645557,0.000645557,0.000645557
