epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2798,0.84601,2.47142,1.51949,0.0025,1,0.55204,0.19031,0.91877,3.74276,2.09079,0.00034,0.00034,0.00034
2,168.31,0.78601,1.7579,1.39622,0.0025,1,0.74898,0.39349,1.02193,3.75813,1.91278,0.000697268,0.000697268,0.000697268
3,348.586,0.7404,1.37156,1.38488,1,0.46225,0.82739,0.55371,1.15671,3.58509,2.50213,0.00104352,0.00104352,0.00104352
4,561.24,0.833,1.41613,1.44294,0.46286,0.7,0.5598,0.16813,2.37725,4.5485,3.78577,0.00137064,0.00137064,0.00137064
5,774.033,0.8913,1.37435,1.49056,0.44894,0.83333,0.52397,0.24551,1.1633,3.70041,2.77851,0.00167101,0.00167101,0.00167101
6,901.93,0.827,1.34838,1.45247,0.46237,0.63333,0.47213,0.14234,1.6689,3.81835,4.35101,0.00181093,0.00181093,0.00181093
7,976.417,0.74197,1.17566,1.38612,0.34842,0.56667,0.35197,0.13301,1.62447,4.08074,3.4648,0.00173168,0.00173168,0.00173168
8,1049.64,0.79765,1.16532,1.42024,0.12592,0.5,0.10633,0.04085,2.38207,7.23086,3.70461,0.00164105,0.00164105,0.00164105
9,1124.24,0.83644,1.124,1.4399,0.43007,0.63333,0.3745,0.20701,1.22079,4.00996,2.36539,0.00154047,0.00154047,0.00154047
10,1195.78,0.83591,1.09503,1.44899,0.50983,0.53333,0.46279,0.25994,1.24732,3.00106,2.35069,0.00143152,0.00143152,0.00143152
11,1268.02,0.75527,1.07367,1.3728,0.7267,0.7093,0.7681,0.44369,1.2121,2.19303,2.23216,0.00131593,0.00131593,0.00131593
12,1339.69,0.71461,0.89522,1.30787,0.59414,0.83333,0.69419,0.49268,1.05063,2.25581,2.02108,0.00119551,0.00119551,0.00119551
13,1411.23,0.71086,0.94923,1.32014,0.67088,0.74766,0.71402,0.47137,0.95378,2.29865,1.75618,0.00107216,0.00107216,0.00107216
14,1484.06,0.72053,0.88141,1.33343,0.97809,0.93333,0.98954,0.79353,0.7138,1.48187,1.6332,0.000947837,0.000947837,0.000947837
15,1555.53,0.67745,0.90404,1.31439,0.9643,0.90049,0.98171,0.71176,0.79032,1.43703,1.60242,0.000824492,0.000824492,0.000824492
16,1625.74,0.64742,1.52395,1.52164,0.96643,0.95973,0.98708,0.75545,0.81427,1.32506,1.65715,0.000704073,0.000704073,0.000704073
17,1697.84,0.46736,1.22071,1.34056,1,0.99876,0.995,0.81971,0.84576,1.28556,1.9083,0.000588479,0.000588479,0.000588479
18,1769.33,0.45769,1.15533,1.29477,0.9973,1,0.995,0.83564,0.62363,1.11932,1.36195,0.000479531,0.000479531,0.000479531
19,1841.56,0.41479,1.4557,1.21735,0.99848,1,0.995,0.84679,0.60419,1.11247,1.34732,0.00037895,0.00037895,0.00037895
20,1912.86,0.41126,1.02646,1.2703,0.99747,1,0.995,0.84374,0.60455,1.09825,1.36392,0.000288321,0.000288321,0.000288321
21,1984.57,0.41545,0.97097,1.30784,0.99739,1,0.995,0.85432,0.59987,1.03993,1.3519,0.000209073,0.000209073,0.000209073
22,2055.32,0.34446,0.95258,1.17808,0.99858,1,0.995,0.85823,0.56585,1.05975,1.25678,0.000142456,0.000142456,0.000142456
23,2126.61,0.35849,0.88445,1.17662,1,0.99875,0.995,0.86592,0.56686,1.07948,1.2635,8.95213e-05,8.95213e-05,8.95213e-05
24,2197.43,0.31564,0.876,1.19825,1,0.9973,0.995,0.86082,0.57373,1.08465,1.27058,5.11027e-05,5.11027e-05,5.11027e-05
25,2267.58,0.36014,0.90934,1.22599,1,0.99688,0.995,0.86751,0.5759,1.09329,1.2739,2.78064e-05,2.78064e-05,2.78064e-05
