epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.419,1.11917,9.87707,1.85221,0.93524,0.53333,0.53342,0.34879,1.09654,4.60183,2.55527,0.00012,0.00012,0.00012
2,584.631,0.5401,4.07071,1.39716,0.84582,0.54903,0.56721,0.34853,1.45639,9.51064,5.24031,0.00023426,0.00023426,0.00023426
3,842.56,0.51139,2.3881,1.37695,1,0.52132,0.53577,0.35586,1.2511,7.24149,3.76307,0.0003208,0.0003208,0.0003208
4,1098.88,0.44937,1.50017,1.31194,0.99514,0.5,0.49585,0.33867,1.16102,5.91238,3.81569,0.00037962,0.00037962,0.00037962
5,1342.6,0.4404,1.08901,1.27487,0.98961,0.53333,0.56257,0.42144,0.82017,5.07989,1.93262,0.00041072,0.00041072,0.00041072
6,1592.74,0.49023,0.87571,1.31816,0.49304,0.6,0.43886,0.28835,0.86977,5.49637,2.25717,0.0004141,0.0004141,0.0004141
7,1850.43,0.42473,0.71615,1.31402,0.91969,0.7,0.72656,0.50265,1.0244,2.74427,2.99947,0.00038976,0.00038976,0.00038976
8,2100.2,0.44152,0.60854,1.28186,0.92366,0.80683,0.83231,0.65161,0.82042,2.28304,1.95321,0.0003377,0.0003377,0.0003377
9,2354.99,0.42171,0.58737,1.24202,0.99259,0.76667,0.76658,0.63501,0.74517,1.39801,1.66302,0.00025792,0.00025792,0.00025792
10,2608.69,0.36342,0.48605,1.20791,1,0.76657,0.76539,0.6374,0.65746,1.09164,1.45917,0.00015042,0.00015042,0.00015042
